sim,time,persistence,TimeValue,FILE
18,4.3,0.05,85,data/18_4.3_0.05_85.vtu
18,4.4,0.05,87,data/18_4.4_0.05_87.vtu
18,4.5,0.05,89,data/18_4.5_0.05_89.vtu
19,3.5,0.05,69,data/19_3.5_0.05_69.vtu
19,3.6,0.05,71,data/19_3.6_0.05_71.vtu
19,3.7,0.05,73,data/19_3.7_0.05_73.vtu
19,3.8,0.05,75,data/19_3.8_0.05_75.vtu
19,3.9,0.05,77,data/19_3.9_0.05_77.vtu
19,4,0.05,79,data/19_4_0.05_79.vtu
19,4.2,0.05,83,data/19_4.2_0.05_83.vtu
19,4.3,0.05,85,data/19_4.3_0.05_85.vtu
19,4.4,0.05,87,data/19_4.4_0.05_87.vtu
19,4.5,0.05,89,data/19_4.5_0.05_89.vtu
20,3.5,0.05,69,data/20_3.5_0.05_69.vtu
20,3.6,0.05,71,data/20_3.6_0.05_71.vtu
20,3.7,0.05,73,data/20_3.7_0.05_73.vtu
20,3.8,0.05,75,data/20_3.8_0.05_75.vtu
20,3.9,0.05,77,data/20_3.9_0.05_77.vtu
20,4,0.05,79,data/20_4_0.05_79.vtu
20,4.2,0.05,83,data/20_4.2_0.05_83.vtu
20,4.3,0.05,85,data/20_4.3_0.05_85.vtu
20,4.4,0.05,87,data/20_4.4_0.05_87.vtu
20,4.5,0.05,89,data/20_4.5_0.05_89.vtu
21,3.5,0.05,69,data/21_3.5_0.05_69.vtu
21,3.6,0.05,71,data/21_3.6_0.05_71.vtu
21,3.7,0.05,73,data/21_3.7_0.05_73.vtu
21,3.8,0.05,75,data/21_3.8_0.05_75.vtu
21,3.9,0.05,77,data/21_3.9_0.05_77.vtu
21,4,0.05,79,data/21_4_0.05_79.vtu
21,4.2,0.05,83,data/21_4.2_0.05_83.vtu
21,4.3,0.05,85,data/21_4.3_0.05_85.vtu
21,4.4,0.05,87,data/21_4.4_0.05_87.vtu
21,4.5,0.05,89,data/21_4.5_0.05_89.vtu
22,3.5,0.05,69,data/22_3.5_0.05_69.vtu
22,3.6,0.05,71,data/22_3.6_0.05_71.vtu
22,3.7,0.05,73,data/22_3.7_0.05_73.vtu
22,3.8,0.05,75,data/22_3.8_0.05_75.vtu
22,3.9,0.05,77,data/22_3.9_0.05_77.vtu
22,4,0.05,79,data/22_4_0.05_79.vtu
22,4.2,0.05,83,data/22_4.2_0.05_83.vtu
22,4.3,0.05,85,data/22_4.3_0.05_85.vtu
22,4.4,0.05,87,data/22_4.4_0.05_87.vtu
22,4.5,0.05,89,data/22_4.5_0.05_89.vtu
23,3.5,0.05,69,data/23_3.5_0.05_69.vtu
23,3.6,0.05,71,data/23_3.6_0.05_71.vtu
23,3.7,0.05,73,data/23_3.7_0.05_73.vtu
23,3.8,0.05,75,data/23_3.8_0.05_75.vtu
23,3.9,0.05,77,data/23_3.9_0.05_77.vtu
23,4,0.05,79,data/23_4_0.05_79.vtu
23,4.2,0.05,83,data/23_4.2_0.05_83.vtu
23,4.3,0.05,85,data/23_4.3_0.05_85.vtu
23,4.4,0.05,87,data/23_4.4_0.05_87.vtu
23,4.5,0.05,89,data/23_4.5_0.05_89.vtu
